Invoice ID,Customer type,Gender,Product line,Unit price,Quantity,Total,Payment,Rating
847-38-7188,Normal,Female,Food and beverages,96.68,3,304.542,Ewallet,6.4
480-63-2856,Normal,Male,Food and beverages,19.25,8,161.7,Ewallet,6.6
787-56-0757,Member,Female,Food and beverages,80.36,4,337.512,Credit card,8.3
360-39-5055,Member,Male,Sports and travel,48.91,5,2.567.775,Cash,6.6
730-50-9884,Normal,Female,Sports and travel,83.06,7,610.491,Ewallet,4
362-58-8315,Normal,Male,Fashion accessories,76.52,5,401.73,Cash,9.9
633-44-8566,Member,Male,Food and beverages,49.38,7,362.943,Credit card,7.3
504-35-8843,Normal,Male,Sports and travel,42.47,1,445.935,Cash,5.7
318-68-5053,Normal,Female,Health and beauty,76.99,6,485.037,Cash,6.1
565-80-5980,Member,Female,Home and lifestyle,47.38,4,198.996,Cash,7.1
225-32-0908,Normal,Female,Sports and travel,44.86,10,471.03,Ewallet,8.2
873-51-0671,Member,Female,Sports and travel,21.98,7,161.553,Ewallet,5.1
152-08-9985,Member,Male,Health and beauty,64.36,9,608.202,Credit card,8.6
512-91-0811,Normal,Male,Health and beauty,89.75,1,942.375,Credit card,6.6
594-34-4444,Normal,Male,Electronic accessories,97.16,1,102.018,Ewallet,7.2
766-85-7061,Normal,Male,Health and beauty,87.87,10,922.635,Ewallet,5.1
871-39-9221,Normal,Female,Electronic accessories,12.45,6,78.435,Cash,4.1
865-92-6136,Normal,Male,Food and beverages,52.75,3,1.661.625,Ewallet,9.3
733-01-9107,Normal,Male,Home and lifestyle,82.7,6,521.01,Cash,7.4
163-56-7055,Member,Male,Fashion accessories,48.71,1,511.455,Cash,4.1
189-98-2939,Normal,Male,Fashion accessories,78.55,9,7.422.975,Cash,7.2
551-21-3069,Normal,Female,Electronic accessories,23.07,9,2.180.115,Cash,4.9
212-62-1842,Normal,Male,Food and beverages,58.26,6,367.038,Cash,9.9
716-39-1409,Normal,Male,Health and beauty,30.35,7,2.230.725,Cash,8
704-48-3927,Member,Male,Electronic accessories,88.67,10,931.035,Ewallet,7.3
628-34-3388,Normal,Male,Fashion accessories,27.38,6,172.494,Credit card,7.9
630-74-5166,Normal,Male,Sports and travel,62.13,6,391.419,Cash,7.4
588-01-7461,Normal,Female,Food and beverages,33.98,9,321.111,Cash,4.2
861-77-0145,Member,Male,Electronic accessories,81.97,10,860.685,Cash,9.2
479-26-8945,Member,Female,Sports and travel,16.49,2,34.629,Ewallet,4.6
210-67-5886,Member,Female,Health and beauty,98.21,3,3.093.615,Credit card,7.8
227-78-1148,Normal,Female,Fashion accessories,72.84,7,535.374,Cash,8.4
645-44-1170,Member,Male,Home and lifestyle,58.07,9,5.487.615,Ewallet,4.3
237-01-6122,Member,Female,Home and lifestyle,80.79,9,7.634.655,Credit card,9.5
225-98-1496,Normal,Female,Fashion accessories,27.02,3,85.113,Credit card,7.1
291-32-1427,Member,Male,Fashion accessories,21.94,5,115.185,Ewallet,5.3
659-65-8956,Member,Male,Fashion accessories,51.36,1,53.928,Ewallet,5.2
642-32-2990,Normal,Female,Food and beverages,10.96,,115.08,Ewallet,6
378-24-2715,Normal,Male,Home and lifestyle,53.44,2,112.224,Ewallet,4.1
638-60-7125,Normal,Female,Electronic accessories,99.56,8,836.304,Credit card,5.2
659-36-1684,Member,Male,Sports and travel,57.12,7,419.832,Credit card,6.5
219-22-9386,Member,Male,Sports and travel,99.96,9,944.622,Credit card,4.2
336-78-2147,Member,Male,Home and lifestyle,63.91,8,536.844,Credit card,4.6
268-27-6179,Member,Female,Fashion accessories,56.47,8,474.348,Ewallet,7.3
668-90-8900,Normal,Female,Home and lifestyle,93.69,7,6.886.215,Credit card,4.5
870-54-3162,Normal,Female,Sports and travel,32.25,5,1.693.125,Cash,9
189-08-9157,Normal,Female,Fashion accessories,31.73,9,2.998.485,Credit card,5.9
663-86-9076,Member,Female,Food and beverages,68.54,8,575.736,Ewallet,8.5
549-84-7482,Normal,Female,Sports and travel,90.28,9,853.146,Ewallet,7.2
191-10-6171,Normal,Female,Fashion accessories,39.62,7,291.207,Cash,7.5
802-70-5316,Member,Female,Sports and travel,92.13,6,580.419,Cash,8.3
695-51-0018,Normal,Female,Sports and travel,34.84,4,146.328,Cash,7.4
590-83-4591,Member,Male,Electronic accessories,87.45,6,550.935,Credit card,8.8
483-71-1164,Normal,Female,Health and beauty,81.3,6,512.19,Ewallet,5.3
597-78-7908,Normal,Male,Fashion accessories,90.22,3,284.193,Cash,6.2
700-81-1757,Normal,Female,Electronic accessories,26.31,5,1.381.275,Credit card,8.8
354-39-5160,Member,Female,Home and lifestyle,34.42,6,216.846,Cash,9.8
241-72-9525,Normal,Male,Sports and travel,51.91,10,545.055,Cash,8.2
575-30-8091,Normal,Male,Sports and travel,72.5,8,609,Ewallet,9.2
731-81-9469,Member,Female,Sports and travel,89.8,10,942.9,Credit card,5.4
280-17-4359,Member,Male,Health and beauty,90.5,10,950.25,Cash,8.1
338-65-2210,Member,Female,Health and beauty,68.6,10,720.3,Cash,9.1
488-25-4221,Member,Female,Food and beverages,30.41,1,319.305,Credit card,
239-10-7476,Normal,Female,Home and lifestyle,77.95,6,491.085,Ewallet,8
458-41-1477,Normal,Female,Health and beauty,46.26,6,291.438,Credit card,9.5
685-64-1609,Member,Female,Fashion accessories,30.14,10,316.47,Ewallet,9.2
568-90-5112,Normal,Male,Health and beauty,66.14,4,277.788,Credit card,5.6
262-47-2794,Member,Male,Home and lifestyle,71.86,8,603.624,Credit card,6.2
238-49-0436,Normal,Male,Health and beauty,32.46,8,272.664,Credit card,4.9
608-96-3517,Member,Female,Fashion accessories,91.54,4,384.468,Credit card,4.8
584-86-7256,Member,Male,Sports and travel,34.56,7,254.016,Credit card,7.3
746-94-0204,Normal,Male,Fashion accessories,83.24,9,786.618,Credit card,7.4
214-17-6927,Normal,Female,Food and beverages,16.48,6,103.824,Ewallet,9.9
400-89-4171,Normal,Female,Sports and travel,80.97,8,680.148,Cash,9.3
782-95-9291,Member,Male,Food and beverages,92.29,5,4.845.225,Credit card,9
279-74-2924,Member,Male,Electronic accessories,72.17,1,757.785,Cash,6.1
307-85-2293,Normal,Male,Home and lifestyle,50.28,5,263.97,Ewallet,9.7
743-04-1105,Member,Male,Health and beauty,97.22,9,918.729,Ewallet,6
423-57-2993,Normal,Male,Sports and travel,93.39,6,588.357,Ewallet,10
894-41-5205,Normal,Female,Food and beverages,43.18,8,362.712,Credit card,8.3
275-28-0149,Normal,Male,Sports and travel,63.69,1,668.745,Cash,6
101-17-6199,Normal,Male,Food and beverages,45.79,7,3.365.565,Credit card,7
423-80-0988,Normal,Male,Sports and travel,76.4,2,160.44,Ewallet,6.5
548-46-9322,Normal,Male,Food and beverages,39.9,10,418.95,Credit card,5.9
505-02-0892,Member,Male,Health and beauty,42.57,8,357.588,Ewallet,5.6
234-65-2137,Normal,Male,Home and lifestyle,95.58,10,1003.59,Cash,
687-47-8271,Normal,Male,Fashion accessories,98.98,10,1039.29,Credit card,8.7
796-32-9050,Normal,Male,Food and beverages,51.28,6,323.064,Cash,6.5
105-31-1824,Member,Male,Sports and travel,69.52,7,510.972,Credit card,8.5
249-42-3782,Normal,Male,Health and beauty,70.01,5,3.675.525,Ewallet,5.5
316-55-4634,Member,Male,Food and beverages,80.05,5,4.202.625,Credit card,9.4
733-33-4967,Normal,Male,Electronic accessories,20.85,8,175.14,Cash,6.3
608-27-6295,Member,Male,Electronic accessories,52.89,6,333.207,Credit card,9.8
414-12-7047,Normal,Male,Food and beverages,19.79,8,166.236,Ewallet,8.7
827-26-2100,Member,Male,Home and lifestyle,33.84,9,319.788,Ewallet,8.8
175-54-2529,Member,Male,Food and beverages,22.17,8,186.228,Credit card,9.6
139-52-2867,Normal,Female,Fashion accessories,22.51,7,1.654.485,Credit card,4.8
407-63-8975,Normal,Male,Food and beverages,73.88,6,465.444,Ewallet,4.4
342-65-4817,Member,Male,Health and beauty,86.8,3,273.42,Ewallet,9.9
130-98-8941,Normal,Male,Fashion accessories,64.26,7,472.311,Cash,5.7
434-83-9547,Member,Male,Food and beverages,38.47,8,323.148,Cash,7.7
851-28-6367,Member,Male,Sports and travel,15.5,10,162.75,Ewallet,8
824-88-3614,Normal,Male,Health and beauty,34.31,8,288.204,Ewallet,5.7
586-25-0848,Normal,Female,Sports and travel,12.34,7,90.699,Credit card,6.7
895-66-0685,Member,Male,Food and beverages,18.08,3,56.952,Ewallet,8
305-14-0245,Member,Female,Home and lifestyle,94.49,8,793.716,Ewallet,7.5
732-04-5373,Member,Male,Home and lifestyle,46.47,4,195.174,Cash,7
400-60-7251,Normal,Male,Home and lifestyle,74.07,1,777.735,Ewallet,9.9
593-65-1552,Normal,Female,Home and lifestyle,69.81,4,293.202,Credit card,5.9
284-34-9626,Normal,Female,Home and lifestyle,77.04,3,242.676,Credit card,7.2
437-58-8131,Normal,Female,Fashion accessories,73.52,2,154.392,Ewallet,4.6
286-43-6208,Normal,Female,Food and beverages,87.8,9,829.71,Cash,9.2
641-43-2399,Normal,Male,Home and lifestyle,25.55,4,107.31,Ewallet,5.7
831-07-6050,Normal,Male,Electronic accessories,32.71,5,1.717.275,Credit card,9.9
556-86-3144,Member,Female,Fashion accessories,74.29,1,780.045,Cash,5
848-24-9445,Member,Male,Health and beauty,43.7,2,91.77,Cash,4.9
856-22-8149,Normal,Female,Home and lifestyle,25.29,1,265.545,Ewallet,6.1
699-01-4164,Normal,Male,Health and beauty,41.5,4,174.3,Credit card,8.2
420-11-4919,Member,Female,Food and beverages,71.39,5,3.747.975,Credit card,5.5
606-80-4905,Member,Female,Sports and travel,19.15,6,120.645,Credit card,6.8
542-41-0513,Member,Female,Electronic accessories,57.49,4,241.458,Cash,6.6
426-39-2418,Normal,Male,Electronic accessories,61.41,7,4.513.635,Cash,9.8
875-46-5808,Member,Male,Health and beauty,25.9,10,271.95,Ewallet,8.7
394-43-4238,Member,Male,Home and lifestyle,17.77,5,932.925,Credit card,5.4
749-24-1565,Normal,Female,Health and beauty,23.03,9,2.176.335,Ewallet,7.9
672-51-8681,Member,Female,Electronic accessories,66.65,9,6.298.425,Credit card,9.7
263-87-5680,Member,Female,Home and lifestyle,28.53,10,299.565,Ewallet,7.8
573-58-9734,Normal,Female,Fashion accessories,30.37,3,956.655,Ewallet,5.1
817-69-8206,Normal,Female,Electronic accessories,99.73,9,9.424.485,Credit card,6.5
888-02-0338,Normal,Male,Electronic accessories,26.23,9,2.478.735,Ewallet,5.9
677-11-0152,Normal,Female,Food and beverages,93.26,9,881.307,Cash,8.8
142-63-6033,Normal,Male,Home and lifestyle,92.36,5,484.89,Ewallet,4.9
656-16-1063,Normal,Male,Sports and travel,46.42,3,146.223,Credit card,4.4
891-58-8335,Member,Female,Sports and travel,29.61,7,2.176.335,Cash,6.5
802-43-8934,Normal,Male,Home and lifestyle,18.28,1,19.194,Credit card,8.3
560-30-5617,Normal,Female,Sports and travel,24.77,5,1.300.425,Cash,8.5
319-74-2561,Member,Female,Electronic accessories,94.64,3,298.116,Cash,5.5
549-03-9315,Normal,Male,Fashion accessories,94.87,8,796.908,Ewallet,8.7
790-29-1172,Normal,Female,Food and beverages,57.34,3,180.621,Credit card,7.9
239-36-3640,Normal,Male,Electronic accessories,45.35,6,285.705,Ewallet,6.1
468-01-2051,Normal,Male,Food and beverages,62.08,7,456.288,Ewallet,5.4
389-25-3394,Normal,Male,Electronic accessories,11.81,5,620.025,Cash,9.4
279-62-1445,Member,Female,Fashion accessories,12.54,1,13.167,Cash,8.2
213-72-6612,Normal,Male,Food and beverages,43.25,2,90.825,Cash,6.2
746-68-6593,Member,Female,Sports and travel,87.16,2,183.036,Credit card,9.7
836-82-5858,Member,Male,Health and beauty,69.37,9,6.555.465,Ewallet,4
583-72-1480,Member,Male,Electronic accessories,37.06,4,155.652,Ewallet,9.7
466-61-5506,Member,Female,Electronic accessories,90.7,6,571.41,Cash,5.3
721-86-6247,Normal,Female,Home and lifestyle,63.42,8,532.728,Ewallet,7.4
289-65-5721,Normal,Female,Fashion accessories,81.37,2,170.877,Cash,6.5
545-46-3100,Member,Female,Electronic accessories,10.59,3,333.585,Credit card,8.7
418-02-5978,Normal,Female,Health and beauty,84.09,9,7.946.505,Cash,8
269-04-5750,Member,Male,Fashion accessories,73.82,4,310.044,Cash,6.7
157-13-5295,Member,Male,Health and beauty,51.94,10,545.37,Ewallet,6.5
645-78-8093,Normal,Female,Sports and travel,93.14,2,195.594,Ewallet,4.1
211-30-9270,Normal,Male,Health and beauty,17.41,5,914.025,Credit card,4.9
755-12-3214,Member,Female,Fashion accessories,44.22,5,232.155,Credit card,8.6
346-84-3103,Member,Female,Electronic accessories,13.22,5,69.405,Cash,4.3
478-06-7835,Normal,Male,Fashion accessories,89.69,1,941.745,Ewallet,4.9
540-11-4336,Normal,Male,Food and beverages,24.94,9,235.683,Credit card,5.6
448-81-5016,Normal,Male,Health and beauty,59.77,2,125.517,Credit card,5.8
142-72-4741,Member,Male,Fashion accessories,93.2,2,195.72,Credit card,6
217-58-1179,Member,Male,Home and lifestyle,62.65,4,263.13,Cash,4.2
376-02-8238,Normal,Male,Home and lifestyle,93.87,8,788.508,Credit card,8.3
530-90-9855,Member,Male,Home and lifestyle,47.59,8,399.756,Cash,5.7
866-05-7563,Member,Female,Electronic accessories,81.4,3,256.41,Cash,4.8
604-70-6476,Member,Male,Fashion accessories,17.94,5,94.185,Ewallet,6.8
799-71-1548,Member,Male,Electronic accessories,77.72,4,326.424,Credit card,8.8
785-13-7708,Normal,Male,Food and beverages,73.06,7,536.991,Credit card,4.2
845-51-0542,Member,Male,Food and beverages,46.55,9,4.398.975,Ewallet,6.4
662-47-5456,Member,Male,Fashion accessories,35.19,10,369.495,Credit card,8.4
883-17-4236,Normal,Female,Sports and travel,14.39,2,30.219,Credit card,7.2
290-68-2984,Normal,Male,Home and lifestyle,23.75,4,99.75,Cash,5.2
704-11-6354,Member,Male,Home and lifestyle,58.9,8,494.76,Cash,8.9
110-48-7033,Member,Male,Fashion accessories,32.62,4,137.004,Cash,9
366-93-0948,Member,Male,Electronic accessories,66.35,1,696.675,Credit card,9.7
729-09-9681,Member,Male,Home and lifestyle,25.91,6,163.233,Ewallet,8.7
151-16-1484,Member,Male,Electronic accessories,32.25,4,135.45,Ewallet,6.5
380-94-4661,Member,Male,Electronic accessories,65.94,4,276.948,Credit card,6.9
850-41-9669,Normal,Female,Electronic accessories,75.06,9,709.317,Ewallet,6.2
821-07-3596,Normal,Female,Fashion accessories,16.45,4,69.09,Ewallet,5.6
655-85-5130,Member,Female,Fashion accessories,38.3,4,160.86,Cash,5.7
447-15-7839,Member,Female,Sports and travel,22.24,10,233.52,Cash,4.2
154-74-7179,Normal,Male,Sports and travel,54.45,1,571.725,Ewallet,7.9
253-12-6086,Member,Female,Sports and travel,98.4,7,723.24,Credit card,8.7
808-65-0703,Normal,Male,Home and lifestyle,35.47,4,148.974,Credit card,6.9
571-94-0759,Member,Female,Food and beverages,74.6,10,783.3,Cash,9.5
144-51-6085,Member,Male,Home and lifestyle,70.74,4,297.108,Credit card,4.4
731-14-2199,Member,Female,Home and lifestyle,35.54,10,373.17,Ewallet,7
783-09-1637,Normal,Female,Sports and travel,67.43,5,3.540.075,Ewallet,6.3
687-15-1097,Member,Female,Health and beauty,21.12,2,44.352,Cash,9.7
126-54-1082,Member,Female,Home and lifestyle,21.54,9,203.553,Credit card,8.8
633-91-1052,Normal,Female,Home and lifestyle,12.03,2,25.263,Cash,5.1
477-24-6490,Normal,Female,Health and beauty,99.71,6,628.173,Ewallet,7.9
566-19-5475,Normal,Male,Fashion accessories,47.97,7,3.525.795,Cash,6.2
526-86-8552,Member,Female,Home and lifestyle,21.82,10,229.11,Cash,7.1
376-56-3573,Normal,Female,Fashion accessories,95.42,4,400.764,Ewallet,6.4
537-72-0426,Member,Male,Fashion accessories,70.99,10,745.395,Cash,5.7
828-61-5674,Member,Male,Sports and travel,44.02,10,462.21,Credit card,9.6
136-08-6195,Normal,Female,Home and lifestyle,69.96,8,587.664,Credit card,6.4
523-38-0215,Normal,Male,Home and lifestyle,37,1,38.85,Credit card,7.9
490-29-1201,Normal,Female,Sports and travel,15.34,1,16.107,Cash,6.5
667-92-0055,Member,Male,Health and beauty,99.83,6,628.929,Ewallet,8.5
565-17-3836,Member,Female,Health and beauty,47.67,4,200.214,Cash,9.1
498-41-1961,Normal,Male,Health and beauty,66.68,5,350.07,Cash,7.6
593-95-4461,Member,Male,Home and lifestyle,74.86,1,78.603,Cash,6.9
226-71-3580,Normal,Female,Sports and travel,23.75,9,2.244.375,Cash,9.5
283-79-9594,Normal,Female,Food and beverages,48.51,7,3.565.485,Credit card,5.2
430-60-3493,Member,Female,Home and lifestyle,94.88,7,697.368,Cash,4.2
139-20-0155,Member,Male,Electronic accessories,40.3,10,423.15,Credit card,7
558-80-4082,Normal,Male,Electronic accessories,27.85,7,2.046.975,Ewallet,6
278-97-7759,Member,Female,Electronic accessories,62.48,1,65.604,Cash,4.7
316-68-6352,Member,Female,Food and beverages,36.36,2,76.356,Cash,7.1
585-03-5943,Normal,Male,Health and beauty,18.11,10,190.155,Ewallet,5.9
211-05-0490,Member,Female,Electronic accessories,51.92,5,272.58,Cash,7.5
727-75-6477,Normal,Male,Electronic accessories,28.84,4,121.128,Cash,6.4
744-02-5987,Member,Male,Home and lifestyle,78.38,6,493.794,Ewallet,5.8
307-83-9164,Member,Male,Home and lifestyle,60.01,4,252.042,Cash,4.5
779-06-0012,Member,Female,Home and lifestyle,88.61,1,930.405,Cash,7.7
